A,0,S,35,107
A,1,B,20,117
A,2,B,30,95
A,3,S,26,94
A,4,B,35,108
A,5,B,37,99
A,6,S,31,94
A,7,B,10,116
A,8,B,28,116
A,9,S,26,103
A,10,B,30,102
A,11,B,28,119
A,12,S,25,105
A,13,B,19,98
A,14,B,8,111
A,15,S,39,90
A,16,B,33,92
A,17,B,37,103
A,18,S,10,96
A,19,B,8,90
A,20,B,31,98
A,21,S,20,90
A,22,B,19,115
A,23,B,5,110
A,24,S,38,101
A,25,B,11,117
A,26,B,13,97
A,27,S,15,90
A,28,B,10,110
A,29,B,38,108
A,30,S,17,106
A,31,B,39,115
A,32,B,14,98
A,33,S,39,106
A,34,B,27,98
A,35,B,23,107
A,36,S,21,115
A,37,B,38,107
A,38,B,39,95
A,39,S,13,116
A,40,B,17,104
A,41,B,24,99
A,42,S,27,119
A,43,B,11,96
A,44,B,32,112
A,45,S,6,112
A,46,B,40,94
A,47,B,8,119
A,48,S,17,118
A,49,B,35,92
A,50,B,17,111
A,51,S,6,118
A,52,B,17,106
A,53,B,13,120
A,54,S,22,113
A,55,B,20,99
A,56,B,28,107
A,57,S,37,99
A,58,B,12,118
A,59,B,17,113
A,60,S,38,107
A,61,B,13,95
A,62,B,35,116
A,63,S,35,109
A,64,B,20,102
A,65,B,21,96
A,66,S,12,104
A,67,B,31,94
A,68,B,28,114
A,69,S,6,94
A,70,B,19,112
A,71,B,39,105
A,72,S,19,106
A,73,B,9,105
A,74,B,29,98
A,75,S,32,101
A,76,B,27,114
A,77,B,25,109
A,78,S,19,94
A,79,B,8,107
A,80,B,11,106
A,81,S,13,98
A,82,B,35,98
A,83,B,40,110
A,84,S,25,113
A,85,B,27,113
A,86,B,6,97
A,87,S,17,109
A,88,B,10,110
A,89,B,10,91
A,90,S,28,109
A,91,B,31,117
A,92,B,19,115
A,93,S,34,119
A,94,B,6,104
A,95,B,26,103
A,96,S,13,115
A,97,B,7,119
A,98,B,27,116
A,99,S,18,106
A,100,B,32,94
A,101,B,9,119
A,102,S,8,100
A,103,B,23,118
A,104,B,30,101
A,105,S,32,91
A,106,B,12,90
A,107,B,29,112
A,108,S,12,101
A,109,B,23,98
A,110,B,6,111
A,111,S,14,98
A,112,B,12,99
A,113,B,28,108
A,114,S,36,103
A,115,B,27,114
A,116,B,26,115
A,117,S,22,90
A,118,B,38,103
A,119,B,28,104
A,120,S,11,93
A,121,B,9,100
A,122,B,35,97
A,123,S,6,111
A,124,B,26,103
A,125,B,30,91
A,126,S,26,103
